symbol,expiration,strike,right,timestamp,bid,ask,delta,theta,vega,rho,epsilon,lambda,gamma,vanna,charm,vomma,veta,vera,speed,zomma,color,ultima,d1,d2,dual_delta,dual_gamma,implied_vol,iv_error,underlying_timestamp,underlying_price
SPY,20190111,258.5,CALL,2019-01-11T14:20:00,0.33,0.36,0.4834,-2.586,1.421,0.0237,-0.0237,368.2795,0.4437,0.0711,-49.847,0.0105,0.0002,0.0,0.0,0.0,0.0,-0.1253,-0.0414,-0.0449,-0.482,0.0,0.2519,-0.002,2019-01-11T14:20:00,258.46
SPY,20190111,258.5,CALL,2019-01-11T14:21:00,0.33,0.36,0.4921,-2.5508,1.4149,0.0238,-0.0239,373.7427,0.455,0.0374,-27.3722,0.0026,0.0001,0.0,0.0,0.0,0.0,-0.0321,-0.0197,-0.0231,-0.4907,0.0,0.247,0.001,2019-01-11T14:21:00,258.48
SPY,20190111,258.5,CALL,2019-01-11T14:22:00,0.35,0.36,0.4923,-2.6547,1.4078,0.0236,-0.0237,362.6538,0.4416,0.0352,-26.9322,0.0023,0.0001,0.0,0.0,0.0,0.0,-0.0281,-0.0191,-0.0226,-0.4909,0.0,0.2558,0.0026,2019-01-11T14:22:00,258.48
SPY,20190111,258.5,CALL,2019-01-11T14:23:00,0.32,0.34,0.4745,-2.6627,1.3977,0.0225,-0.0226,371.9453,0.4432,0.1046,-75.2929,0.0234,0.0002,0.0,0.0,0.0,0.0,-0.2745,-0.0637,-0.0672,-0.4731,0.0,0.2558,-0.0007,2019-01-11T14:23:00,258.44
SPY,20190111,258.5,CALL,2019-01-11T14:24:00,0.3,0.33,0.4646,-2.6101,1.3878,0.0218,-0.0219,386.9165,0.4551,0.1462,-102.9118,0.0452,0.0002,0.0,0.0,0.0,0.0,-0.5418,-0.0886,-0.0919,-0.4633,0.0,0.25,0.0011,2019-01-11T14:24:00,258.42
SPY,20190111,258.5,CALL,2019-01-11T14:25:00,0.3,0.32,0.4646,-2.6339,1.3805,0.0216,-0.0217,387.4568,0.4557,0.1458,-104.1131,0.0449,0.0002,0.0,0.0,0.0,0.0,-0.5364,-0.0887,-0.0921,-0.4632,0.0,0.2509,-0.0003,2019-01-11T14:25:00,258.42
SPY,20190111,258.5,CALL,2019-01-11T14:26:00,0.28,0.3,0.4422,-2.6602,1.3639,0.0203,-0.0204,394.8517,0.4499,0.2309,-166.7729,0.1158,0.0003,0.0,0.0,0.0,0.0,-1.3594,-0.1451,-0.1485,-0.4409,0.0,0.2539,-0.002,2019-01-11T14:26:00,258.37
SPY,20190111,258.5,CALL,2019-01-11T14:27:00,0.29,0.31,0.4594,-2.6482,1.3642,0.0209,-0.021,395.419,0.4618,0.1668,-120.7405,0.0583,0.0003,0.0,0.0,0.0,0.0,-0.6981,-0.1017,-0.105,-0.4581,0.0,0.25,0.0008,2019-01-11T14:27:00,258.41
SPY,20190111,258.5,CALL,2019-01-11T14:28:00,0.29,0.32,0.4594,-2.6728,1.3568,0.0207,-0.0207,396.0446,0.4625,0.1664,-122.2134,0.058,0.0002,0.0,0.0,0.0,0.0,-0.6911,-0.1019,-0.1052,-0.458,0.0,0.2509,-0.0008,2019-01-11T14:28:00,258.41
SPY,20190111,258.5,CALL,2019-01-11T14:29:00,0.36,0.39,0.5344,-2.642,1.3522,0.0238,-0.0239,372.7821,0.4746,-0.1345,92.6365,0.0395,0.0,0.0,0.0,0.0,0.0,-0.4817,0.0865,0.0832,-0.5331,0.0,0.246,0.0019,2019-01-11T14:29:00,258.57
SPY,20190111,258.5,CALL,2019-01-11T14:30:00,0.35,0.38,0.5249,-2.682,1.3471,0.0231,-0.0232,376.0291,0.4744,-0.095,65.9113,0.02,0.0,0.0,0.0,0.0,0.0,-0.243,0.0624,0.0592,-0.5236,0.0,0.248,0.0025,2019-01-11T14:30:00,258.55
SPY,20190111,258.5,CALL,2019-01-11T14:31:00,0.35,0.39,0.5345,-2.6925,1.3372,0.0233,-0.0234,373.9357,0.4762,-0.1338,95.066,0.039,0.0,0.0,0.0,0.0,0.0,-0.4716,0.0867,0.0835,-0.5332,0.0,0.248,-0.0009,2019-01-11T14:31:00,258.57
SPY,20190111,258.5,CALL,2019-01-11T14:32:00,0.34,0.35,0.5059,-2.7378,1.3342,0.0218,-0.0218,385.6163,0.477,-0.0184,10.8329,0.0009,0.0,0.0,0.0,0.0,0.0,-0.0112,0.0148,0.0115,-0.5046,0.0,0.25,-0.0024,2019-01-11T14:32:00,258.51
SPY,20190111,258.5,CALL,2019-01-11T14:33:00,0.28,0.3,0.4623,-2.7078,1.3204,0.0197,-0.0197,412.2982,0.4834,0.157,-120.233,0.0493,0.0002,0.0,0.0,0.0,0.0,-0.5977,-0.0945,-0.0977,-0.461,0.0,0.247,-0.0007,2019-01-11T14:33:00,258.42
SPY,20190111,258.5,CALL,2019-01-11T14:34:00,0.3,0.33,0.4864,-2.7242,1.3182,0.0205,-0.0205,405.1358,0.49,0.0602,-48.3648,0.0067,0.0001,0.0,0.0,0.0,0.0,-0.0828,-0.034,-0.0371,-0.4851,0.0,0.246,0.001,2019-01-11T14:34:00,258.47
SPY,20190111,258.5,CALL,2019-01-11T14:35:00,0.34,0.35,0.5158,-2.7515,1.3105,0.0215,-0.0215,392.5003,0.4907,-0.059,42.0554,0.0077,0.0,0.0,0.0,0.0,0.0,-0.0938,0.0397,0.0366,-0.5145,0.0,0.247,-0.0006,2019-01-11T14:35:00,258.53
SPY,20190111,258.5,CALL,2019-01-11T14:36:00,0.35,0.38,0.5355,-2.7707,1.2988,0.022,-0.0221,384.4598,0.49,-0.1377,103.8644,0.0401,0.0,0.0,0.0,0.0,0.0,-0.4845,0.0891,0.086,-0.5342,0.0,0.248,0.0004,2019-01-11T14:36:00,258.57
SPY,20190111,258.5,CALL,2019-01-11T14:37:00,0.32,0.35,0.5217,-2.684,1.2942,0.0212,-0.0212,409.052,0.5145,-0.086,61.6831,0.0152,0.0,0.0,0.0,0.0,0.0,-0.1915,0.0544,0.0514,-0.5205,0.0,0.2382,-0.0007,2019-01-11T14:37:00,258.54
SPY,20190111,258.5,CALL,2019-01-11T14:38:00,0.35,0.38,0.5527,-2.6818,1.2773,0.0222,-0.0223,396.9592,0.5137,-0.2152,161.2092,0.0922,-0.0001,0.0,0.0,0.0,0.0,-1.1553,0.1327,0.1297,-0.5516,0.0,0.2382,0.0003,2019-01-11T14:38:00,258.6
SPY,20190111,258.5,CALL,2019-01-11T14:39:00,0.34,0.37,0.5366,-2.7763,1.2751,0.0213,-0.0213,397.2146,0.5069,-0.1448,111.6092,0.0428,0.0,0.0,0.0,0.0,0.0,-0.5249,0.092,0.089,-0.5354,0.0,0.2441,-0.0018,2019-01-11T14:39:00,258.57
SPY,20190111,258.5,CALL,2019-01-11T14:40:00,0.33,0.35,0.532,-2.7739,1.2684,0.0208,-0.0209,405.0737,0.5147,-0.127,97.909,0.0325,0.0,0.0,0.0,0.0,0.0,-0.4031,0.0803,0.0774,-0.5308,0.0,0.2421,-0.0011,2019-01-11T14:40:00,258.56
SPY,20190111,258.5,CALL,2019-01-11T14:41:00,0.3,0.31,0.501,-2.7317,1.2643,0.0194,-0.0194,432.8261,0.5326,0.0003,-3.5817,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001,0.0026,-0.0001,-0.4999,0.0,0.2363,-0.0024,2019-01-11T14:41:00,258.5
